experiment_id,dataset,protocol,method_or_component,role,formal_case_n,cluster_n,aggregation,inference_attempt_n,inference_failure_n,coverage_denominator_n,idf1_denominator_n,w_support_case_n,w_support_cluster_n,wa_support_case_n,wa_support_cluster_n,local_support_case_n,local_support_cluster_n,ate_sim3_support_case_n,ate_sim3_support_cluster_n,other_support,source,publication_status,notes
EgoBody-CS150,EgoBody,43 recordings x 3 angle strata; 150 frames,Strict Human3R,internal formal,129,43,"mean 3 cases within recording, then recording macro",129,0,129,129,129,43,129,43,129,43,129,43,paired-statistics unit: 43 recordings,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/egobody_v20/EGOBODY_FINAL_RESULTS.md,primary candidate,Raw per-case artifact was deleted after sealing; retained report and hashes remain.
EgoBody-CS150,EgoBody,43 recordings x 3 angle strata; 150 frames,BRIDGE3R,internal formal,129,43,"mean 3 cases within recording, then recording macro",129,0,129,129,129,43,129,43,129,43,129,43,paired-statistics unit: 43 recordings,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/egobody_v20/EGOBODY_FINAL_RESULTS.md,primary candidate,Raw per-case artifact was deleted after sealing; retained report and hashes remain.
EgoBody-CS150,EgoBody,43 recordings x 3 angle strata; 150 frames,TRACE (official adapter),external executable,129,43,"mean 3 cases within recording, then recording macro",129,0,129,129,22,15,35,17,35,17,0,0,zero-match cases 94/129; ATE is N/A by output contract,external_baselines/bridge3r_eval/TRACE_EGOBODY_TEST.md,external summary candidate,Geometry is conditional on accepted matches; camera trajectory is not independently estimated.
EgoBody-CS150,EgoBody,43 recordings x 3 angle strata; 150 frames,PromptHMR (official SPEC),external executable,129,43,"mean 3 cases within recording, then recording macro",129,0,129,129,64,34,87,36,87,36,129,43,zero-match cases 42/129,external_baselines/bridge3r_eval/PROMPTHMR_SPEC_EGOBODY_TEST.md,external summary candidate,Geometry is conditional on accepted matches; all availability metrics retain the full manifest.
EgoBody-CS150,EgoBody,43 recordings x 3 angle strata; 150 frames,PromptHMR (no-SPEC adapter),external executable adapter,129,43,"mean 3 cases within recording, then recording macro",129,0,129,129,,33,,36,,36,129,43,zero-match cases 38/129; case-level W/WA support not retained in report,external_baselines/bridge3r_eval/PROMPTHMR_EGOBODY_TEST.md,supplement/adapter diagnostic,Blank case supports must remain blank unless the sealed per-case artifact is restored.
AIST++-CS150,AIST++,AIST++-CS150,Strict Human3R,single-person diagnostic,100,100,source macro,100,0,100,,,,,,100,100,,,all reported components N=100,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/aist_cs150_formal/AIST_CS150_FORMAL_REPORT.md,supplement candidate,CS150 and each multi-cut protocol have separate frozen official pose_test manifests and must not be pooled.
AIST++-CS150,AIST++,AIST++-CS150,BRIDGE3R,single-person diagnostic,100,100,source macro,100,0,100,,,,,,100,100,,,all reported components N=100,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/aist_cs150_formal/AIST_CS150_FORMAL_REPORT.md,supplement candidate,CS150 and each multi-cut protocol have separate frozen official pose_test manifests and must not be pooled.
AIST++-CS150,AIST++,AIST++-CS150,PromptHMR (official offline),single-person diagnostic,100,100,source macro,100,0,100,,,,,,100,100,,,all reported components N=100,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/aist_cs150_formal/AIST_CS150_FORMAL_REPORT.md,supplement candidate,CS150 and each multi-cut protocol have separate frozen official pose_test manifests and must not be pooled.
AIST++-MC150-3,AIST++,AIST++-MC150-3,Strict Human3R,component/event-scaling diagnostic,100,100,source macro,100,0,100,,,,,,100,100,,,all reported components N=100,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/aist_multicut_formal/AIST_MULTICUT_FORMAL_REPORT.md,supplement candidate,CS150 and each multi-cut protocol have separate frozen official pose_test manifests and must not be pooled.
AIST++-MC150-3,AIST++,AIST++-MC150-3,Clean reset,component/event-scaling diagnostic,100,100,source macro,100,0,100,,,,,,100,100,,,all reported components N=100,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/aist_multicut_formal/AIST_MULTICUT_FORMAL_REPORT.md,supplement candidate,CS150 and each multi-cut protocol have separate frozen official pose_test manifests and must not be pooled.
AIST++-MC150-3,AIST++,AIST++-MC150-3,Coarse alignment only,component/event-scaling diagnostic,100,100,source macro,100,0,100,,,,,,100,100,,,all reported components N=100,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/aist_multicut_formal/AIST_MULTICUT_FORMAL_REPORT.md,supplement candidate,CS150 and each multi-cut protocol have separate frozen official pose_test manifests and must not be pooled.
AIST++-MC150-3,AIST++,AIST++-MC150-3,Coarse alignment + identity,component/event-scaling diagnostic,100,100,source macro,100,0,100,,,,,,100,100,,,all reported components N=100,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/aist_multicut_formal/AIST_MULTICUT_FORMAL_REPORT.md,supplement candidate,CS150 and each multi-cut protocol have separate frozen official pose_test manifests and must not be pooled.
AIST++-MC150-3,AIST++,AIST++-MC150-3,BRIDGE3R,component/event-scaling diagnostic,100,100,source macro,100,0,100,,,,,,100,100,,,all reported components N=100,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/aist_multicut_formal/AIST_MULTICUT_FORMAL_REPORT.md,supplement candidate,CS150 and each multi-cut protocol have separate frozen official pose_test manifests and must not be pooled.
AIST++-MC150-4,AIST++,AIST++-MC150-4,Strict Human3R,component/event-scaling diagnostic,100,100,source macro,100,0,100,,,,,,100,100,,,all reported components N=100,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/aist_multicut_formal/AIST_MULTICUT_FORMAL_REPORT.md,supplement candidate,CS150 and each multi-cut protocol have separate frozen official pose_test manifests and must not be pooled.
AIST++-MC150-4,AIST++,AIST++-MC150-4,Clean reset,component/event-scaling diagnostic,100,100,source macro,100,0,100,,,,,,100,100,,,all reported components N=100,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/aist_multicut_formal/AIST_MULTICUT_FORMAL_REPORT.md,supplement candidate,CS150 and each multi-cut protocol have separate frozen official pose_test manifests and must not be pooled.
AIST++-MC150-4,AIST++,AIST++-MC150-4,Coarse alignment only,component/event-scaling diagnostic,100,100,source macro,100,0,100,,,,,,100,100,,,all reported components N=100,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/aist_multicut_formal/AIST_MULTICUT_FORMAL_REPORT.md,supplement candidate,CS150 and each multi-cut protocol have separate frozen official pose_test manifests and must not be pooled.
AIST++-MC150-4,AIST++,AIST++-MC150-4,Coarse alignment + identity,component/event-scaling diagnostic,100,100,source macro,100,0,100,,,,,,100,100,,,all reported components N=100,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/aist_multicut_formal/AIST_MULTICUT_FORMAL_REPORT.md,supplement candidate,CS150 and each multi-cut protocol have separate frozen official pose_test manifests and must not be pooled.
AIST++-MC150-4,AIST++,AIST++-MC150-4,BRIDGE3R,component/event-scaling diagnostic,100,100,source macro,100,0,100,,,,,,100,100,,,all reported components N=100,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/aist_multicut_formal/AIST_MULTICUT_FORMAL_REPORT.md,supplement candidate,CS150 and each multi-cut protocol have separate frozen official pose_test manifests and must not be pooled.
AIST++-GVHMR-pilot,AIST++,pre-registered hard-cut pilot,GVHMR,availability gate only,12,12,case count,12,,12,,,,,,2,2,,,one-sided raw tracker support 2/12,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/aist_cs150_formal/AIST_CS150_FORMAL_REPORT.md,private pilot; exclude from formal ranking,Did not pass availability gate and therefore was not expanded to the 100-source Test table.
Harmony4D-association,Harmony4D,boundary association audit,BRIDGE3R association,mechanism audit,88,25,pair micro plus case macro,88,0,,88,,,,,,,,,84/88 cases evaluable; 142/147 endpoint pairs correct; continuation 142/176,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/harmony4d_boundary_association_table.tex,supplement candidate,"Pair, case, continuation, and IDF1 denominators are distinct and must not be interchanged."
Harmony4D-multicut,Harmony4D,4 captures / 8 boundaries,Strict Human3R and BRIDGE3R,repeated-transition diagnostic,4,4,capture macro,4,0,4,4,4,4,4,4,4,4,4,4,8 cut boundaries,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/harmony4d_multicut_table.tex,limited supplement evidence,Small diagnostic set; do not describe as a broad multi-cut benchmark.
Harmony4D-lambda,Harmony4D,training-only sensitivity,shared-translation blend,hyperparameter sensitivity,12,12,case macro,12,0,9,9,9,9,9,9,9,9,9,9,9 evaluator-complete; seam support 8; 3 uniformly evaluator-unavailable,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/harmony4d_lambda_sensitivity.tex,supplement candidate,Training-only descriptive sweep; fixed lambda=0.5 is not selected from Test.
EgoBody-runtime-existing,EgoBody,existing component timing on Test,pipeline components,runtime diagnostic,129,43,case mean; mixed component timing,129,0,,,,,,,,,,,host RSS only; GPU peak unavailable; deployed single-method FPS unavailable,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/egobody_v20/runtime_summary.json,private diagnostic; insufficient for formal runtime claim,Do not report as standardized end-to-end throughput or peak GPU memory.
Harmony4D-legacy-five-method-conflict,Harmony4D,legacy 100-case table with 88 internal geometry supports,BRIDGE3R legacy row,conflict sentinel,100,25,legacy case macro,100,0,100,100,88,,88,,88,,88,,legacy W/WA/ATE = 584.0/266.9/0.019; unified 88-case = 519.6/247.0/0.0168,ICLR-paper/bridge3r_iclr2027/versions/v021_20260828_nine_page_expansion/manuscript/artifacts/harmony4d_final/harmony4d_five_method_table.tex,DO NOT USE; must regenerate,Historical result binding conflicts with the current unified frozen 88-case method row.
